algorithm,instance_id,n_trials,n_success,n_error,n_infeasible,success_rate,mean_objective,median_objective,std_objective,min_objective,max_objective,mean_runtime_seconds,median_runtime_seconds,std_runtime_seconds,mean_distance_km,mean_travel_time_min,mean_congestion_penalty,feasibility_rate
Classical_PSO,medium_seed_42,3,0,0,3,0.0,,,,,,37.9334,38.8993,6.3113,,,,0.0
Classical_PSO,small_seed_42,3,3,0,0,1.0,80.1643,78.6381,2.6434,78.6381,83.2166,4.1325,3.0217,2.6116,34.4809,60.1325,9.3042,1.0
Classical_PSO,small_seed_43,3,3,0,0,1.0,69.4922,69.4922,0.0,69.4922,69.4922,5.3387,3.3439,3.8964,30.9945,51.6192,7.9192,1.0
Exact_Brute_Force,small_seed_42,3,3,0,0,1.0,78.6381,78.6381,0.0,78.6381,78.6381,70.8604,63.1239,18.122,33.5079,58.9857,9.6614,1.0
Exact_Brute_Force,small_seed_43,3,3,0,0,1.0,69.4922,69.4922,0.0,69.4922,69.4922,35.7235,34.9442,1.701,30.9945,51.6192,7.9192,1.0
Genetic_Algorithm,medium_seed_42,3,0,0,3,0.0,,,,,,38.0677,36.5887,6.6382,,,,0.0
Genetic_Algorithm,small_seed_42,3,3,0,0,1.0,80.1643,78.6381,2.6434,78.6381,83.2166,3.5253,2.3501,2.2489,34.4809,60.1325,9.3042,1.0
Genetic_Algorithm,small_seed_43,3,3,0,0,1.0,69.4922,69.4922,0.0,69.4922,69.4922,4.1708,4.1196,0.8779,30.9945,51.6192,7.9192,1.0
QPSO,medium_seed_42,3,0,0,3,0.0,,,,,,37.226,34.4176,5.3825,,,,0.0
QPSO,small_seed_42,3,3,0,0,1.0,78.6381,78.6381,0.0,78.6381,78.6381,4.3745,4.363,1.092,33.5079,58.9857,9.6614,1.0
QPSO,small_seed_43,3,3,0,0,1.0,69.4922,69.4922,0.0,69.4922,69.4922,10.9765,11.3207,1.1699,30.9945,51.6192,7.9192,1.0
Simulated_Annealing,medium_seed_42,3,0,0,3,0.0,,,,,,4.1962,4.3143,0.2804,,,,0.0
Simulated_Annealing,small_seed_42,3,3,0,0,1.0,87.5699,83.2166,7.5401,83.2166,96.2765,0.3347,0.3679,0.0804,38.1698,65.7656,9.0647,1.0
Simulated_Annealing,small_seed_43,3,3,0,0,1.0,69.4922,69.4922,0.0,69.4922,69.4922,0.3441,0.3924,0.0877,30.9945,51.6192,7.9192,1.0
