algorithm,instance_id,mean_runtime_seconds,std_runtime_seconds,median_runtime_seconds,n_trials
Classical_PSO,medium_seed_42,37.9334,6.3113,38.8993,3
Classical_PSO,small_seed_42,4.1325,2.6116,3.0217,3
Classical_PSO,small_seed_43,5.3387,3.8964,3.3439,3
Exact_Brute_Force,small_seed_42,70.8604,18.122,63.1239,3
Exact_Brute_Force,small_seed_43,35.7235,1.701,34.9442,3
Genetic_Algorithm,medium_seed_42,38.0677,6.6382,36.5887,3
Genetic_Algorithm,small_seed_42,3.5253,2.2489,2.3501,3
Genetic_Algorithm,small_seed_43,4.1708,0.8779,4.1196,3
QPSO,medium_seed_42,37.226,5.3825,34.4176,3
QPSO,small_seed_42,4.3745,1.092,4.363,3
QPSO,small_seed_43,10.9765,1.1699,11.3207,3
Simulated_Annealing,medium_seed_42,4.1962,0.2804,4.3143,3
Simulated_Annealing,small_seed_42,0.3347,0.0804,0.3679,3
Simulated_Annealing,small_seed_43,0.3441,0.0877,0.3924,3
